District,Year,Licensed Educators,Instructional Personnel,Classroom Teacher,Principal,Superintendent
Alamo,2018,47139,45107,44129,72296,101628
Alcoa,2018,65620,65310,62203,98876,111817
Anderson County,2018,50559,50033,47112,82615,136496
Arlington,2018,64362,63359,60635,109551,161250
Athens,2018,58742,58058,54151,99630,129808
Bartlett,2018,61590,60855,57881,114059,208200
Bedford County,2018,49807,49439,47547,79146,109000
Bells,2018,50415,49564,47397,71500,78500
Benton County,2018,48799,48429,46544,65862,92307
Bledsoe County,2018,53164,52386,50208,62680,105670
Blount County,2018,54122,53816,51424,89451,131480
Bradford,2018,48699,46873,43954,77823,101993
Bradley County,2018,53696,53365,51363,81682,145920
Bristol,2018,58401,57516,54489,99609,150519
Campbell County,2018,50254,49913,47816,74464,117000
Cannon County,2018,47950,47950,45896,69265,101221
Carroll County,2018,49063,46390,43979,69510,97179
Carter County,2018,46233,46078,44884,61825,95993
Cheatham County,2018,47644,47644,45562,79028,130000
Chester County,2018,49570,48922,46975,73664,107690
Claiborne County,2018,47795,47298,45080,72105,99500
Clay County,2018,48462,47699,45748,64788,80385
Cleveland,2018,57571,57301,53657,96359,146443
Clinton,2018,50763,49446,46686,66975,100595
Countycke County,2018,49748,49324,47502,76384,124970
Countyffee County,2018,49444,48886,47048,70094,120514
Countyllierville,2018,61049,60417,58146,105054,195100
Crockett County,2018,48881,48108,45943,68358,112759
Cumberland County,2018,46975,46734,44247,74883,106000
Davidson County,2018,58033,57922,54988,107443,338492
Dayton,2018,49608,49433,48664,64430,50000
Decatur County,2018,50001,49610,47490,76198,82200
Dekalb County,2018,45318,45140,43322,68242,85000
Dickson County,2018,49250,48918,46966,77126,128496
Dyer County,2018,53292,52922,50241,86833,120731
Dyersburg,2018,55384,54869,52745,83806,120000
Elizabethton,2018,51951,51461,49055,81784,111416
Etowah,2018,54102,52642,47207,85974,60465
Fayette County Public Schools,2018,45709,45222,43902,60963,128750
Fayetteville,2018,53413,52851,49583,81830,118420
Fentress County,2018,47550,47183,44854,66897,91612
Franklin,2018,61493,60662,57808,110321,193414
Franklin County,2018,50398,50100,48486,76462,109372
Germantown,2018,61304,60338,57528,110671,174664
Gibson County. Spec.,2018,49489,48945,46352,78429,109810
Giles County,2018,49028,48566,46363,78612,109000
Grainger County,2018,49408,49173,46828,69713,99422
Greene County,2018,50270,49949,47954,77615,109166
Greeneville,2018,56574,56010,53132,91362,141126
Grundy County,2018,44435,43956,42130,63791,85000
Hamblen County,2018,52965,52648,50508,83255,135604
Hamilton County,2018,54641,54218,51337,95816,189856
Hancock County,2018,45501,44363,42047,68589,79030
Hardeman County Schools,2018,49931,49546,47072,75257,111415
Hardin County,2018,47635,47176,44973,64599,93659
Hawkins County,2018,47277,46882,45205,65534,104148
Haywood County,2018,46769,46262,43693,64695,106000
Henderson County,2018,49952,49568,47397,69296,105000
Henry County,2018,51924,51482,49038,78844,125400
Hickman County,2018,47592,47213,44860,74285,100000
Hollow Rock - Bruceton,2018,47598,46455,44701,69554,93626
Houston County,2018,51851,51381,48490,70285,92773
Humboldt,2018,48269,47110,43400,79900,132159
Humphreys County,2018,48069,47854,45916,68358,92540
Huntingdon,2018,51239,50751,48625,80894,99290
Jackson County,2018,49917,49448,46743,70756,82277
Jefferson County,2018,49177,48985,47016,76713,113939
Johnson City,2018,61015,60714,58247,102056,137000
Johnson County,2018,46814,46388,43928,66263,94688
Kingsport,2018,60176,59963,57443,98478,138190
Knox County,2018,53330,52818,50229,99021,207200
Lake County,2018,45744,44872,42518,72613,98850
Lakeland,2018,59715,58656,56433,104668,140000
Lauderdale County,2018,48672,48075,45702,76485,121886
Lawrence County,2018,50934,50694,48386,77699,123363
Lebanon,2018,57711,57277,54434,93089,141755
Lenoir City,2018,57253,56882,53609,93051,132224
Lewis County,2018,50120,49673,47323,73850,114239
Lexington,2018,49322,48166,44806,69531,96000
Lincoln County,2018,52135,51530,49254,85085,129540
Loudon County,2018,52163,51721,48591,88376,128520
Macon County,2018,49715,49419,46966,75503,90125
Madison County,2018,52195,52054,49388,87792,175000
Manchester,2018,55718,54902,52898,74665,119000
Marion County,2018,50389,49772,47356,72939,161000
Marshall County,2018,51727,51383,49358,80128,116304
Maryville,2018,66602,65902,63810,108785,157570
Maury County,2018,51949,51629,49253,89997,180000
Mckenzie,2018,50975,50372,48730,73707,90738
Mcminn County,2018,51856,51631,49446,79769,116683
Mcnairy County,2018,46437,46045,44268,74326,101100
Meigs County,2018,52924,52472,49750,74143,120755
Milan,2018,49546,49093,46127,89037,105360
Millington,2018,62931,62160,59690,107701,139000
Monroe County,2018,48943,48692,46840,71801,102372
Montgomery County,2018,55910,55718,52810,100594,170400
Moore County,2018,51594,51088,48716,75995,91292
Morgan County,2018,48065,47522,45645,72048,101294
Murfreesboro,2018,56983,56779,54073,90851,121367
Newport,2018,50170,49610,47645,64330,88000
Oak Ridge,2018,68299,67927,65383,101253,194505
Obion County,2018,49971,49670,47940,70867,104343
Oneida,2018,48249,47735,45246,77838,89343
Overton County,2018,46143,45890,44257,63428,83722
Paris,2018,52877,52365,50541,89065,109000
Perry County,2018,50304,49714,46375,68001,94163
Pickett County,2018,50036,49173,46629,65417,85630
Polk County,2018,53836,53242,51320,76799,110504
Putnam County,2018,50438,50235,48342,74710,106000
Rhea County,2018,47029,46604,44444,76846,112385
Richard City,2018,42967,42061,41355,60200,63345
Roane County,2018,53997,53844,51549,79781,125000
Robertson County,2018,48648,48304,46363,77867,130000
Rogersville,2018,53930,52958,50724,86599,106342
Rutherford County,2018,54284,54116,52098,95111,156316
Scott County,2018,46674,46301,44519,64363,86819
Sequatchie County,2018,49105,48659,46954,73602,102250
Sevier County,2018,53917,53608,51595,92509,152954
Shelby County,2018,59990,59886,56478,109225,291899
Smith County,2018,44938,44357,41986,61353,141402
South Carroll,2018,49201,49201,46422,62541,94378
State Average,2018,53974,53654,50998,88338,121507
Stewart County,2018,52236,51898,49386,72896,102715
Sullivan County,2018,49442,49187,47761,75839,135096
Sumner County,2018,49473,49347,47388,84600,194521
Sweetwater,2018,55475,55136,52075,72276,95631
Tipton County,2018,54521,54216,52041,82893,148600
Trenton,2018,50192,49349,46701,73681,103725
Trousdale County,2018,49471,48902,46217,74220,96632
Tullahoma,2018,54267,53745,51774,89810,145702
Unicoi County,2018,48308,47811,45366,65808,105314
Union City,2018,52743,51954,49654,84702,124570
Union County,2018,46604,46164,44234,69608,103290
Van Buren County,2018,51942,51349,49197,70344,86085
Warren County,2018,47663,47414,45674,70959,106684
Washington County,2018,49994,49633,48209,68489,131050
Wayne County,2018,48859,48711,46989,69307,102506
Weakley County,2018,47904,47664,45543,77384,129665
West Carroll Sp Dist,2018,48983,48406,46800,71187,96000
White County,2018,51394,51178,49717,67793,90360
Williamson County,2018,54419,54234,51539,113488,265200
Wilson County,2018,50848,50531,47845,90214,175000
